link_kost,nama_kost,alamat_kost_1,alamat_kost_2,latitude,longitude,jenis_kost,luas_kamar,fasilitas_gedung,sekitar_gedung,harga_mulai,area makan,area parkir,cctv,cleaning service,dapur,gym,kolam renang,laundry,lift,meja kompor,mesin cuci,microwave,rooftop,ruang santai / ruang tamu,tempat jemur pakaian,wifi,sekitar_gedung_mall,sekitar_gedung_supermarket,sekitar_gedung_akses kesehatan,sekitar_gedung_sekolah,sekitar_gedung_akses transportasi,kota,tipe_kamar,tipe_kamar (nama_kamar),tipe_kamar (luas_kamar),tipe_kamar (harga_kamar),tipe_kamar (spesifikasi_kamar),tipe_kamar (fasilitas_kamar),fasilitas_kamar_pemanas air,fasilitas_kamar_shower,fasilitas_kamar_bathtub,fasilitas_kamar_wastafel,fasilitas_kamar_balkon,fasilitas_kamar_ac,fasilitas_kamar_kursi,fasilitas_kamar_lemari,fasilitas_kamar_meja,fasilitas_kamar_sprei,fasilitas_kamar_tv,fasilitas_kamar_tv kabel,luas_kost,harga_kost_per_bulan,fasilitas_kamar_jumlah kasur,fasilitas_kamar_tipe kasur,kompor,kulkas,dispenser,fasilitas_kamar_jendela kearah luar,jenis_kost_campur,fasilitas_kamar_termasuk listrik,fasilitas_kamar_kamar mandi dalam,jakarta_check,total_fasilitas_kamar,total_fasilitas_gedung,total_fasilitas,fasilitas_kamar_tipe kasur (encoded),fasilitas_kamar_jumlah kasur (encoded),group_1,group_2,group_3,group_4
https://infokost.id/listing/ruoptions-caraka-inn-pesanggrahan/,Caraka Inn Pesanggrahan,"Jl. Pesanggrahan V No.25, RT.8/RW.7, South Petukangan, Pesanggrahan, Jakarta, 12270","PETUKANGAN SELATAN,           PESANGGRAHAN,           KOTA JAKARTA SELATAN,           DKI JAKARTA           0",-6.2400225,106.7547479,Kost Campur,0.0,"[' Area parkir', ' CCTV', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",1250000.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,Jakarta Selatan,yes, Pocket Single,7.0,1250000.0,"['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower']","['AC', 'Lemari', 'TV']",0,1,0,0,0,1,0,1,0,0,1,0,7.0,1250000.0,1 bed,long bed,0,0,0,0,1,0,1,1,5,6,11,1,1,11,0,0,2
https://infokost.id/listing/ruoptions-caraka-inn-pesanggrahan/,Caraka Inn Pesanggrahan,"Jl. Pesanggrahan V No.25, RT.8/RW.7, South Petukangan, Pesanggrahan, Jakarta, 12270","PETUKANGAN SELATAN,           PESANGGRAHAN,           KOTA JAKARTA SELATAN,           DKI JAKARTA           0",-6.2400225,106.7547479,Kost Campur,0.0,"[' Area parkir', ' CCTV', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",1250000.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,Jakarta Selatan,yes, Pocket Double,7.0,1250000.0,"['1 Tempat tidur (150x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower']","['AC', 'Lemari', 'TV']",0,1,0,0,0,1,0,1,0,0,1,0,7.0,1250000.0,1 bed,≥queen bed,0,0,0,0,1,0,1,1,5,6,11,3,1,11,0,0,2
https://infokost.id/listing/kost-tebet-utara-no-16/,Kost Tebet Utara No.16,"Jl. Tebet Utara Dalam No.16, RT.6/RW.2, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820, Indonesia","TEBET TIMUR,           TEBET,           KOTA JAKARTA SELATAN,           DKI JAKARTA           12820",-6.2267970918090025,106.85439029075,Kost Campur,0.0,"[' Area parkir', ' CCTV', ' Dapur', ' Ruang santai / ruang tamu', ' Wifi']","['Stasiun Tebet', 'Apotek Kimia Farma', 'BRAWIJAYA HOSPITAL SAHARJO', 'RSUD TEBET']",1850000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,Jakarta Selatan,yes, Standard,9.0,1850000.0,"['1 Tempat tidur (120x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel']","['AC', 'Kursi', 'Lemari', 'Meja']",0,1,0,1,0,1,1,1,1,0,0,0,9.0,1850000.0,1 bed,double bed,0,0,0,1,1,0,1,1,8,7,15,2,1,13,0,2,0
https://infokost.id/listing/kost-exclusive-near-pasar-baru/,Kost Exclusive Near Pasar Baru,"Jl. Kartini IV No.128A RT.6/RW.5, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750","KARTINI,           SAWAH BESAR,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10750",-6.155239733225156,106.8350483621324,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Ruang santai / ruang tamu', ' Wifi']","['Rumah Sakit Husada', 'Jakarta International Expo', 'Rajawali Station', 'Mangga Dua Square', 'Mangga Besar Station', 'Badan Meteorologi Klimatologi dan Geofisika Indonesia']",2700000.0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,Jakarta Pusat,yes, Tipe A,9.72,2700000.0,"['1 Tempat tidur (120x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja', 'TV Kabel']",1,1,0,1,0,1,1,1,1,0,0,1,9.72,2700000.0,1 bed,double bed,1,1,1,1,1,0,1,1,10,12,22,2,1,19,1,2,0
https://infokost.id/listing/kost-jalan-mawar-no-33/,Kost Jalan Mawar No. 33,"Jl. Bunga Mawar No.33 RT.13/RW.2, Cipete Sel. Kec. Cilandak Kota Jakarta Selatan Daerah Khusus Ibukota Jakarta 12410","CIPETE SELATAN,           CILANDAK,           KOTA JAKARTA SELATAN,           DKI JAKARTA           12410",-6.270145531835973,106.80778981865178,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Dapur', ' Dispenser', ' Kulkas', ' Microwave', ' Ruang santai / ruang tamu', ' Wifi']","['Stasiun MRT Haji Nawi', 'LOTTE Mart Fatmawati', 'ITC Fatmawati']",4000000.0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,Jakarta Selatan,yes, Tipe A,12.0,4000000.0,"['1 Tempat tidur (160x200) 2 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei', 'TV Kabel']",1,1,0,1,0,1,1,1,1,1,0,1,12.0,4000000.0,1 bed,≥queen bed,0,1,1,1,1,1,1,1,12,11,23,3,1,21,0,2,1
https://infokost.id/listing/kost-yuyun/,Kost Yuyun,"Jl. Majapahit No.3, RT.14/RW.8, South Petojo, Gambir, Central Jakarta City, Jakarta 10160","PETOJO SELATAN,           GAMBIR,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10160",-6.168701166247379,106.82097592856414,Kost Campur,0.0,"[' Area parkir', ' Dapur', ' Kulkas', ' Ruang santai / ruang tamu', ' Wifi']","['Gajah Mada Plaza', 'Monas', 'Bank DKI Kantor Pusat', 'Museum Taman Prasasti']",2300000.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Jakarta Pusat,yes, Standard Room - Double Bed,9.0,2300000.0,"['1 Tempat tidur (160x200) 2 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Pemanas air']","['AC', 'Lemari']",1,1,0,0,0,1,0,1,0,0,0,0,9.0,2300000.0,1 bed,≥queen bed,0,1,0,1,1,0,1,1,6,7,13,3,1,13,0,0,0
https://infokost.id/listing/kost-yuyun/,Kost Yuyun,"Jl. Majapahit No.3, RT.14/RW.8, South Petojo, Gambir, Central Jakarta City, Jakarta 10160","PETOJO SELATAN,           GAMBIR,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10160",-6.168701166247379,106.82097592856414,Kost Campur,0.0,"[' Area parkir', ' Dapur', ' Kulkas', ' Ruang santai / ruang tamu', ' Wifi']","['Gajah Mada Plaza', 'Monas', 'Bank DKI Kantor Pusat', 'Museum Taman Prasasti']",2300000.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Jakarta Pusat,yes, Large Room - Double Bed,12.0,2750000.0,"['1 Tempat tidur (160x200) 2 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower, Pemanas air']","['AC', 'Lemari']",1,1,0,0,0,1,0,1,0,0,0,0,12.0,2750000.0,1 bed,≥queen bed,0,1,0,0,1,0,1,1,5,7,12,3,1,12,0,0,0
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Pocket Single A,5.4,3000000.0,"['1 Tempat tidur (120x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Lemari', 'Meja', 'TV']",1,1,0,1,0,1,0,1,1,0,1,0,5.4,3000000.0,1 bed,double bed,1,1,1,1,1,1,1,1,10,13,23,2,1,21,2,1,2
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Compact Single A,8.55,3300000.0,"['1 Tempat tidur (120x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']","['AC', 'Kursi', 'Lemari', 'Meja', 'TV']",1,1,0,1,0,1,1,1,1,0,1,0,8.55,3300000.0,1 bed,double bed,1,1,1,1,1,1,1,1,11,13,24,2,1,21,2,2,2
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,0.0,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",3000000.0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,Jakarta Pusat,yes, Compact Queen A,7.56,3300000.0,"['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi luar, Shower, Wastafel, Pemanas air']","['AC', 'Lemari', 'Meja']",1,1,0,1,0,1,0,1,1,0,0,0,7.56,3300000.0,1 bed,≥queen bed,1,1,1,1,1,1,0,1,8,13,21,3,1,19,2,1,2
