link_kost,nama_kost,alamat_kost_1,alamat_kost_2,latitude,longitude,jenis_kost,luas_kamar,fasilitas_gedung,sekitar_gedung,harga_mulai,tipe_kamar,tipe_kamar (nama_kamar),tipe_kamar (luas_kamar),tipe_kamar (harga_kamar),tipe_kamar (spesifikasi_kamar),tipe_kamar (fasilitas_kamar)
https://infokost.id/listing/ruoptions-caraka-inn-pesanggrahan/,Caraka Inn Pesanggrahan,"Jl. Pesanggrahan V No.25, RT.8/RW.7, South Petukangan, Pesanggrahan, Jakarta, 12270","PETUKANGAN SELATAN,           PESANGGRAHAN,           KOTA JAKARTA SELATAN,           DKI JAKARTA           0",-6.2400225,106.7547479,Kost Campur,,"[' Area parkir', ' CCTV', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",Rp 1.250.000/bulan,yes,"[' Pocket Single', ' Pocket Double']","['Luas kamar: 6.5 -- 7.5m', 'Luas kamar: 6.5 -- 7.5m']","[' Rp 1.250.000', ' ', ' Rp 1.250.000', ' ']","[['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower'], ['1 Tempat tidur (150x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower']]","[['AC', 'Lemari', 'TV'], ['AC', 'Lemari', 'TV']]"
https://infokost.id/listing/kost-pondok-latifa-coblong-bandung/,Kost Pondok Latifa Coblong Bandung,jl titimplik no18 rt07 rw09 kelurahan sadang serang kecamatan coblong kota bandung kode pos40133,"GEGERKALONG,           SUKASARI,           KOTA BANDUNG,           JAWA BARAT",-6.896961223,107.6219845,Kost Putri,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 700.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-the-loft-coblong-bandung/,Kost The Loft Coblong Bandung,jln. cisitu baru no. 60b. dago. coblong. bandung,"BATUNUNGGAL,           BANDUNG KIDUL,           KOTA BANDUNG,           JAWA BARAT",-6.88379416,107.6125522,Kost Putra,Luas Kamar: 13 -- 15 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 2.100.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-perum-alamanda-coblong-bandung/,Kost Perum Alamanda Coblong Bandung,"Jl. Tubagus Ismail Raya No.60, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat 40134, Indonesia","SADANG SERANG,           COBLONG,           KOTA BANDUNG,           JAWA BARAT",-6.885143026,107.6223909,Kost Campur,Luas Kamar: 10 -- 12 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 1.300.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-nijisi-house-tipe-a-coblong-bandung/,Kost Nijisi House Tipe A Coblong Bandung,"Jl. Kanayakan Baru 23, Dago, Coblong, Bandun","SARIJADI,           SUKASARI,           KOTA BANDUNG,           JAWA BARAT",-6.878314919,107.6177981,Kost Putri,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 1.750.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-almedhy/,Kost Almedhy,"Jl. Djayadi IV No.83B, RT.4/RW.5, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530, Indonesia","TANJUNG BARAT,           JAGAKARSA,           KOTA JAKARTA SELATAN,           DKI JAKARTA           12530",-6.300655,106.849267,Kost Putri,,"[' Area makan', ' Area parkir', ' CCTV', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Meja kompor', ' Rooftop', ' Ruang santai / ruang tamu', ' Tempat jemur pakaian', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus']",Rp 2.000.000/bulan,yes,"[' Tipe 1', ' Tipe 2']","['Luas kamar: 10,5m', 'Luas kamar: 9m']","[' Rp 2.200.000', ' ', ' Rp 2.000.000', ' ']","[['1 Tempat tidur (120x200) 1 orang', 'Tidak termasuk listrik', '\n          Terdapat Balkon          ', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower'], ['1 Tempat tidur (120x200) 1 orang', 'Tidak termasuk listrik', '\n          Terdapat Balkon          ', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower']]","[['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei'], ['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei']]"
https://infokost.id/listing/kost-kembang-sari-denpasar-barat/,Kost Kembang Sari Denpasar Barat,Jl Gn Soputan no 136 B,"PADANGSAMBIAN KLOD,           DENPASAR BARAT,           KOTA DENPASAR,           BALI",-8.680651357,115.1836781,Kost Campur,Luas Kamar: 10 -- 12 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 650.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-purabaya-cicendo-bandung/,Kost Purabaya Cicendo Bandung,"Jalan Pajajaran 83, Kecamatan Cicendo, Kota Bandung, Jawa Barat, 40172","ARJUNA,           CICENDO,           KOTA BANDUNG,           JAWA BARAT",-6.907012519,107.59533,Kost Putri,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 600.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-tebet-utara-no-16/,Kost Tebet Utara No.16,"Jl. Tebet Utara Dalam No.16, RT.6/RW.2, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820, Indonesia","TEBET TIMUR,           TEBET,           KOTA JAKARTA SELATAN,           DKI JAKARTA           12820",-6.2267970918090025,106.85439029074999,Kost Campur,,"[' Area parkir', ' CCTV', ' Dapur', ' Ruang santai / ruang tamu', ' Wifi']","['Stasiun Tebet', 'Apotek Kimia Farma', 'BRAWIJAYA HOSPITAL SAHARJO', 'RSUD TEBET']",Rp 1.850.000/bulan,yes,[' Standard'],['Luas kamar: 9m'],"[' Rp 1.850.000', ' ']","[['1 Tempat tidur (120x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel']]","[['AC', 'Kursi', 'Lemari', 'Meja']]"
https://infokost.id/listing/kost-exclusive-near-pasar-baru/,Kost Exclusive Near Pasar Baru,"Jl. Kartini IV No.128A RT.6/RW.5, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750","KARTINI,           SAWAH BESAR,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10750",-6.155239733225156,106.83504836213241,Kost Campur,,"[' Area makan', ' Area parkir', ' CCTV', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Ruang santai / ruang tamu', ' Wifi']","['Rumah Sakit Husada', 'Jakarta International Expo', 'Rajawali Station', 'Mangga Dua Square', 'Mangga Besar Station', 'Badan Meteorologi Klimatologi dan Geofisika Indonesia']",Rp 2.700.000/bulan,yes,[' Tipe A'],['Luas kamar: 9.72m'],"[' Rp 2.700.000', ' ']","[['1 Tempat tidur (120x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']]","[['AC', 'Kursi', 'Lemari', 'Meja', 'TV Kabel']]"
